CSC-200-01-2194,1461,Ind,N/A,N/A,N/A,N/A,N/A,10,0,0
CSC-200-02-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CSC-200-03-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,23,0
CSC-200-04-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,30,23,0
CSC-200-05-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,35,28,0
CSC-200-06-2194,****,Ind,N/A,N/A,N/A,N/A,N/A,35,28,0
CSC-225-01-2194,6845,Lec,"Taylor, G",MWF,04:10 PM,05:00 PM,N/A,35,34,1
CSC-225-02-2194,6846,Lab,"Taylor, G",MWF,05:10 PM,06:00 PM,N/A,35,33,1
CSC-225-03-2194,6847,Lec,"Planck, J",TR,12:10 PM,01:30 PM,N/A,35,34,0
CSC-225-04-2194,6848,Lab,"Planck, J",TR,01:40 PM,03:00 PM,N/A,35,34,0
CSC-231-01-2194,6748,Act,"Reynosa, M",MW,08:10 AM,10:00 AM,N/A,35,34,0
CSC-231-02-2194,6749,Act,"Voelker, K",MW,10:10 AM,12:00 PM,N/A,35,32,0
CSC-231-03-2194,6750,Act,"Voelker, K",MW,12:10 PM,02:00 PM,N/A,35,35,0
CSC-231-04-2194,6751,Act,"Voelker, K",MW,02:10 PM,04:00 PM,N/A,30,26,0
CSC-231-05-2194,6752,Act,"Voelker, K",TR,09:10 AM,11:00 AM,N/A,30,26,0
CSC-231-06-2194,6753,Act,"Voelker, K",TR,12:10 PM,02:00 PM,N/A,35,17,0
CSC-231-07-2194,7243,Act,"Voelker, K",TR,02:10 PM,04:00 PM,N/A,35,30,0
CSC-232-01-2194,6756,Lec,"Yang, T",WF,12:10 PM,01:00 PM,N/A,35,30,0
CSC-232-02-2194,6757,Act,"Yang, T",WF,01:10 PM,02:00 PM,N/A,35,36,2
CSC-234-01-2194,6759,Lec,"Scovil, R",MWF,12:10 PM,01:00 PM,N/A,35,36,2
CSC-300-01-2194,6805,Lec,"Sakellariou, N",TR,08:10 AM,09:30 AM,N/A,35,35,2
CSC-300-02-2194,6806,Lab,"Sakellariou, N",TR,09:40 AM,11:00 AM,N/A,35,35,2
CSC-300-03-2194,6807,Lec,"Sakellariou, N",TR,12:10 PM,01:30 PM,N/A,35,27,0
CSC-300-04-2194,6808,Lab,"Sakellariou, N",TR,01:40 PM,03:00 PM,N/A,35,27,0
